epoch,model_name,timestamp,learning_rate,training_time_seconds,train_segmentation_loss,train_segmentation_accuracy,train_segmentation_miou,val_segmentation_loss,val_segmentation_accuracy,val_segmentation_miou,train_background_precision,train_background_recall,train_background_f1,train_background_iou,train_face_precision,train_face_recall,train_face_f1,train_face_iou,val_background_precision,val_background_recall,val_background_f1,val_background_iou,val_face_precision,val_face_recall,val_face_f1,val_face_iou,train_race_loss,train_race_accuracy,train_race_weighted_f1,train_race_macro_f1,val_race_loss,val_race_accuracy,val_race_weighted_f1,val_race_macro_f1,train_white_precision,train_white_recall,train_white_f1,train_white_iou,train_white_support,val_white_precision,val_white_recall,val_white_f1,val_white_iou,val_white_support,train_black_precision,train_black_recall,train_black_f1,train_black_iou,train_black_support,val_black_precision,val_black_recall,val_black_f1,val_black_iou,val_black_support,train_asian_precision,train_asian_recall,train_asian_f1,train_asian_iou,train_asian_support,val_asian_precision,val_asian_recall,val_asian_f1,val_asian_iou,val_asian_support,train_indian_precision,train_indian_recall,train_indian_f1,train_indian_iou,train_indian_support,val_indian_precision,val_indian_recall,val_indian_f1,val_indian_iou,val_indian_support,train_others_precision,train_others_recall,train_others_f1,train_others_iou,train_others_support,val_others_precision,val_others_recall,val_others_f1,val_others_iou,val_others_support
1,FaceSeg+,2025-07-04 04:38:30,3.9999999999999996e-05,100.10051584243774,0.3835263841373976,0.8388866674572418,0.6829223562889196,0.295848393384929,0.8748196559826349,0.7553392174738518,0.7647254744859302,0.6925698771052071,0.7268612926852599,0.570920801372699,0.8677738770950845,0.9044796271730711,0.8857465894669253,0.7949239112051403,0.7618220905156167,0.8663707025265548,0.810739738001262,0.6817177430765863,0.9361862387878453,0.8786062400718059,0.9064827362091241,0.8289606918711173,1.509269961090975,0.359830866807611,0.2860063390184151,0.17683494052971466,1.4129053829994114,0.4182661885678127,0.27363912333349005,0.14305418280526533,0.4392489223318532,0.7473893585188042,0.5533108916573907,0.38246707805596747,8044,0.4349602724078329,0.9503968253496826,0.5967917338846409,0.4253052164167524,2016,0.2880116958643258,0.0545555247838672,0.09173454830448509,0.048072230355098285,3611,0.0,0.0,0.0,0.0,905,0.15189873398493833,0.004374772147124507,0.008504601219213079,0.004270462633299984,2743,0.0,0.0,0.0,0.0,687,0.17231537637629984,0.1523659305945626,0.16172772517080664,0.08797814207490022,3170,0.19940476184541522,0.08427672954914758,0.11847918014168572,0.06296992480611184,795,0.06238752249175839,0.07692307691738734,0.06889693629667769,0.03567753001592873,1352,0.0,0.0,0.0,0.0,338
2,FaceSeg+,2025-07-04 04:40:12,4.000142562380119e-05,101.50268292427063,0.2833223630522573,0.8826786331596133,0.7614886204419458,0.2777466944779708,0.8847999468153475,0.7675734999677235,0.8159022217684179,0.8018933910099172,0.8088371036943741,0.6790315498814213,0.9118736340011684,0.9188919858095804,0.9153693072659776,0.8439456910024703,0.8047139242362996,0.8289147020586464,0.8166350064908748,0.6900956978247919,0.9222767951567039,0.9098461468820443,0.9160192510851031,0.8450513021106552,1.4226064266160476,0.43012684989429173,0.3381928524017681,0.21210746642997397,1.355050972608845,0.47880194051887787,0.37914031652308,0.24453157056526517,0.46841020538363715,0.8197761193927888,0.5961738038343661,0.42467783504881007,8040,0.5185304543822582,0.7981150793254903,0.6286383581686471,0.45840455839149846,2016,0.3668514119723713,0.38461538460474226,0.3755233864624864,0.23116580741341816,3614,0.4238544474107915,0.6950276242325937,0.526580111955228,0.3573863636160576,905,0.0,0.0,0.0,0.0,2744,0.0,0.0,0.0,0.0,687,0.1608548931202638,0.04509618416760971,0.07044331554631718,0.03650753127300211,3171,0.2077922076572778,0.040251572321980934,0.06743938270245077,0.03489640130480955,795,0.0818713449813618,0.010362694299751096,0.018396826306700188,0.009283819628031577,1351,0.0,0.0,0.0,0.0,338
3,FaceSeg+,2025-07-04 04:41:56,4.000570248673628e-05,102.67813920974731,0.27456403783587524,0.884395313061317,0.7638289387669954,0.27688901012292316,0.8825234648699097,0.7651824577672108,0.8232265566535651,0.7978931913201783,0.8103618807564846,0.6811835899394654,0.9106155245173541,0.923179902909073,0.9168546208542908,0.8464742875945254,0.7917058098278192,0.8418996287349674,0.8160315469397383,0.6892342690487,0.9270716660625773,0.9007299294160002,0.9137109330861827,0.8411306464857217,1.3606738226358281,0.4781183932346723,0.37505129248806934,0.24078482990765648,1.275747454913199,0.5117063910567391,0.39986934844496963,0.25903065224935595,0.5106035889030481,0.8166231829939543,0.6283337639512503,0.45808070248478583,8049,0.5394442669901168,0.8377976190060616,0.6563045958025915,0.4884326199974427,2016,0.4290345821248373,0.6596510661683841,0.5199170099644413,0.35127562305926446,3611,0.46946815492649585,0.7900552485314857,0.588962061922244,0.417396380594431,905,0.0,0.0,0.0,0.0,2741,0.0,0.0,0.0,0.0,687,0.19675925921371312,0.026788528205900143,0.04715670567107424,0.02414772727204126,3173,0.25287356292773155,0.027672955971361893,0.049886603521944205,0.02558139534586263,795,0.09523809508692366,0.004457652302789179,0.00851666995151668,0.004276550249160616,1346,0.0,0.0,0.0,0.0,338
4,FaceSeg+,2025-07-04 04:43:41,4.001283056340047e-05,104.565682888031,0.27107418969620106,0.8848430593220427,0.7643673956452575,0.26525326125029897,0.886927307167528,0.7668926102974112,0.8255593618047291,0.7962247185058071,0.8106266893501695,0.6815578978795602,0.9100750418235276,0.9245728511821738,0.9172666139949824,0.8471768934109547,0.836706795328814,0.7885184246428654,0.811898160868123,0.6833574515423986,0.9076047485737164,0.9310314096150215,0.9191687857502628,0.8504277690524239,1.2382269945255546,0.5298097251585624,0.4118373355967917,0.268308508546118,1.1796578282269967,0.5543134359839696,0.4320512126321608,0.2832383401953618,0.538607402908536,0.8827697662744559,0.6690219992789926,0.5026544913958897,8044,0.5589388001037402,0.9196428570972399,0.6952934087905652,0.5329117562364786,2016,0.5269671222658484,0.7903047091193822,0.6323137817714509,0.4623237724767084,3610,0.5596125185872122,0.8298342540519521,0.6684467698111882,0.5020053475600263,905,0.0,0.0,0.0,0.0,2740,0.0,0.0,0.0,0.0,687,0.22875816985988293,0.022040302266308556,0.040206761680146245,0.02051582649412322,3176,0.2804878045359905,0.028930817606423798,0.05245152237505568,0.02693208430597985,795,0.0,0.0,0.0,0.0,1350,0.0,0.0,0.0,0.0,338
5,FaceSeg+,2025-07-04 04:45:23,4.002280981145207e-05,102.09112787246704,0.2665629211899846,0.8857580027670992,0.7656595062082012,0.2650719943289967,0.8867000860645912,0.7692875947808995,0.829134574505302,0.7946380230356574,0.811519814458248,0.6828215635681174,0.9096367823662758,0.9266002533972111,0.9180401121661872,0.848497448848285,0.8180004140977584,0.8152926619912423,0.8166442435235632,0.690108890381717,0.9173419757255423,0.9187028917671486,0.9180218793762198,0.848466299180082,1.169235298799914,0.5522198731501057,0.43212757559914455,0.28621171424461495,1.0917424135031113,0.5728749209027632,0.4481700310282664,0.2949949961190007,0.5502056074725218,0.914957105546252,0.6871789614031452,0.5234369443024153,8043,0.575321952663213,0.9528769840797183,0.7174602704854277,0.5594059405777693,2016,0.5710440299832524,0.8229426433687187,0.6742337768160276,0.5085616438269082,3609,0.5856269112702119,0.8464088396854798,0.692272884266147,0.5293711126102715,905,0.0,0.0,0.0,0.0,2744,0.0,0.0,0.0,0.0,687,0.3482142856106505,0.03688524590047651,0.06670465770329616,0.034503096430713566,3172,0.30851063796966954,0.03647798741679523,0.0652418258434286,0.033720930228637105,795,0.24999999687500005,0.0014792899407189873,0.002941175300605987,0.0014727540499651873,1352,0.0,0.0,0.0,0.0,338
6,FaceSeg+,2025-07-04 04:47:06,4.003564017161353e-05,101.93477368354797,0.2639769589485124,0.8859915082096802,0.7659461199820385,0.25919507841499667,0.8877868201757277,0.7692011921632468,0.8305014901736715,0.7936709935606584,0.8116685990896683,0.683032260677634,0.9093020403842877,0.9273805392831568,0.9182522663474352,0.848859979286443,0.8330160429320701,0.7972143329234966,0.8147220148514724,0.6873679502931817,0.910834627267381,0.9283788699400932,0.9195230214138183,0.8510344340333119,1.1121987755908522,0.5660676532769556,0.4431001664122299,0.2925737215375269,1.0799316098684502,0.5688673275680236,0.45273294703976585,0.2898358452208162,0.5680199969658535,0.9323635459289772,0.7059542951399295,0.5455405208748324,8043,0.6557080924618602,0.9002976190029613,0.7587792154177732,0.6113169417106327,2016,0.5782389231523979,0.8560752836740638,0.6902476644248747,0.5270063043018061,3613,0.45962059618105033,0.9370165744820976,0.6167272285244064,0.44584647736877775,905,0.0,0.0,0.0,0.0,2740,0.0,0.0,0.0,0.0,687,0.32240437149661083,0.0371770636409207,0.06666664812283064,0.03448275861968198,3174,0.2656249997924805,0.042767295592104744,0.07367278216190151,0.038245219343279506,795,0.0,0.0,0.0,0.0,1350,0.0,0.0,0.0,0.0,338
7,FaceSeg+,2025-07-04 04:48:49,4.005132156767108e-05,103.32556247711182,0.2624087203727212,0.8860763041716045,0.7661263250027752,0.2582173279017694,0.8868798765042893,0.7681279299001408,0.830425442538316,0.7941099363997628,0.8118617339030522,0.6833058417462293,0.9094747161743437,0.9273045942608297,0.9183030666406724,0.8489468082593211,0.8278748880986266,0.801017659216572,0.8142248122759463,0.6866604268797689,0.912099695021372,0.9253609153137423,0.9186824010930064,0.8495954329205126,1.0776964460694514,0.5717758985200846,0.4495707721446685,0.2972135310368306,1.072363640482077,0.5703438093229276,0.45387869229454364,0.2922658231677046,0.5807299721575879,0.9337311948161914,0.7160905367382582,0.5577422948343279,8043,0.6518598771884486,0.8953373015428899,0.7544409125441977,0.6057046979662516,2016,0.5684759165965407,0.875449764714214,0.6893319779613135,0.5259394745506163,3613,0.46670276120916604,0.9524861877400568,0.626453444184914,0.4560846560605246,905,0.0,0.0,0.0,0.0,2742,0.0,0.0,0.0,0.0,687,0.3419811319948158,0.04571248423563328,0.0806451404845816,0.04201680672147155,3172,0.2959999997632,0.04654088049729046,0.08043475910941139,0.04190260475176641,795,0.0,0.0,0.0,0.0,1350,0.0,0.0,0.0,0.0,338
8,FaceSeg+,2025-07-04 04:50:31,4.00698539064758e-05,101.77297496795654,0.260629347590513,0.8861899789241605,0.7660598272221335,0.25724621542368575,0.88769037857812,0.7671937545671292,0.8324054962992221,0.7917293540682805,0.811558012169795,0.6828756511224366,0.908632119972438,0.9285374661301388,0.9184769079371328,0.8492440033218303,0.8452872197914625,0.7798270714806648,0.8112387173607019,0.6824236397944194,0.9046345175956209,0.9360316890828849,0.9200652746620929,0.8519638693398389,1.0552552280037901,0.5757928118393235,0.4543882274796186,0.3006823051864681,1.0098983294172796,0.5844758489770091,0.465993861935288,0.3033314406863118,0.5894439651745789,0.934012675519647,0.7227617565704401,0.5658786327317732,8047,0.642301184411428,0.9414682539215541,0.7636290002345477,0.6176374877768422,2016,0.5675485008718245,0.8909191583363534,0.6933849987692614,0.5306728232102462,3612,0.5018292682620835,0.9093922650928848,0.6467583038247992,0.47793263644146733,905,0.0,0.0,0.0,0.0,2743,0.0,0.0,0.0,0.0,687,0.3206412825008735,0.05050505050345628,0.08726477059263932,0.04562303963371477,3168,0.342465753190092,0.06289308175309521,0.10626989937221207,0.05611672277709128,795,0.0,0.0,0.0,0.0,1350,0.0,0.0,0.0,0.0,338
9,FaceSeg+,2025-07-04 04:52:11,4.009123707794367e-05,100.018878698349,0.25868295808864195,0.8866875073874475,0.7669986447807443,0.25552654169551736,0.8880358689748091,0.7706586701417925,0.8329062840226028,0.7930194789862218,0.8124735849611977,0.6841731340288754,0.9091606138102596,0.9286789791219304,0.9188161012499494,0.8498241555326133,0.826715505775794,0.8074603230465023,0.8169744243416338,0.6905805974687139,0.9146005526034304,0.9241475698824396,0.9193492265720917,0.850736742814871,1.0371368749197138,0.5837209302325581,0.46630083339553247,0.3114364946031533,1.0328857895946282,0.57646066230753,0.46482165839107215,0.30575844317144185,0.6025712688604761,0.9377407729472134,0.7336897919325162,0.5793918918874432,8047,0.6419536190919904,0.9062499999550471,0.7515425264981982,0.6019769357297536,2016,0.5653685674449692,0.8998339789457711,0.6944266021741908,0.5318940137302601,3614,0.4915155061151834,0.9281767954775496,0.642693145193561,0.47350620064974597,905,0.0,0.0,0.0,0.0,2741,0.0,0.0,0.0,0.0,687,0.38139534877807824,0.07767603409922084,0.12906607890905955,0.06898485698067906,3167,0.35483870948664586,0.08301886791408568,0.13455654416545013,0.07213114753310042,795,0.0,0.0,0.0,0.0,1351,0.0,0.0,0.0,0.0,338
10,FaceSeg+,2025-07-04 04:53:54,4.011547095505671e-05,101.56587815284729,0.25819702775672426,0.8864802201252912,0.7667585286203051,0.2564606015892427,0.8877853654251147,0.7686234903011411,0.8316912792475507,0.7939220114261433,0.8123678324674158,0.6840231671316938,0.9094588023191474,0.9279739348164414,0.9186230334897079,0.8494938901089165,0.8368736500136137,0.7917289719509526,0.8136755583692747,0.6858795233789458,0.9088621474663334,0.9308351482275917,0.9197173771463262,0.8513674572233364,1.0206529082253921,0.587262156448203,0.471810250282734,0.3169453574031359,1.107442984171644,0.5471419531744358,0.4542599416535923,0.2831158295116045,0.6038816417387537,0.9432227605796594,0.736336696494177,0.5827001304736917,8049,0.7520035618543187,0.8377976190060616,0.7925855906527679,0.6564321803087279,2016,0.579258463181457,0.8953488371845142,0.7034257271597708,0.5425264217322173,3612,0.3858477970455787,0.9580110496178994,0.5501268625820355,0.3794310721934604,905,0.0,0.0,0.0,0.0,2740,0.0,0.0,0.0,0.0,687,0.37254901955914393,0.08999052731007293,0.14496436336173138,0.07814642171433654,3167,0.1532258063898283,0.04779874213235236,0.07286669432321914,0.037810945269869556,795,0.0,0.0,0.0,0.0,1352,0.0,0.0,0.0,0.0,338
